scan,eta_signal,Gamma,rmse_cs,rmse_surrogate,rmse_guarded,qzzb_phase_variance,G_eff
eta,0.2,0.5,0.040519367224053617,0.06036405504084124,0.06036405504084124,0.553964725284634,0.4505764574799886
eta,0.22666666666666668,0.5,0.038061318022652724,0.056050431284243446,0.056050431284243446,0.5417166082217294,0.4611155090438609
eta,0.25333333333333335,0.5,0.03600240255401506,0.05239467715456158,0.05239467715456158,0.5307179359887169,0.4721593886354083
eta,0.28,0.5,0.03424511560831611,0.04923685175006873,0.04923685175006873,0.5207562640267923,0.4837452587389149
eta,0.3066666666666667,0.5,0.03272234099441891,0.0464666295698426,0.0464666295698426,0.5116689528397335,0.4959140211740658
eta,0.33333333333333337,0.5,0.03138616689152446,0.044005078592954015,0.044005078592954015,0.5033285514785228,0.5087107995530299
eta,0.36,0.5,0.03020135317275361,0.041794005788638705,0.041794005788638705,0.49563324136165043,0.5221854984132952
eta,0.3866666666666667,0.5,0.029141324375015112,0.03978941469145982,0.03978941469145982,0.4885003551563139,0.5363934536299565
eta,0.41333333333333333,0.5,0.02818560992007507,0.03795732128372729,0.03795732128372729,0.481861848790037,0.5513961919788338
eta,0.44000000000000006,0.5,0.027318151809554547,0.03627098460413333,0.03627098460413333,0.4756610357461222,0.5672623218357229
eta,0.4666666666666667,0.5,0.026526152487991193,0.03470901899424385,0.03470901899424385,0.46985020434685315,0.5840685822079305
eta,0.49333333333333335,0.5,0.025799270261817775,0.03325407403244059,0.03325407403244059,0.4643888236183846,0.6019010839369777
eta,0.52,0.5,0.02512904479679081,0.031891890520493925,0.031891890520493925,0.4592421772941276,0.6208567854368608
eta,0.5466666666666666,0.5,0.02450847877356496,0.030610611839533772,0.030610611839533772,0.45438031396680983,0.64104525635281
eta,0.5733333333333334,0.5,0.023931727895890053,0.02940027255519682,0.02940027255519682,0.44977722138690907,0.6625907968796282
eta,0.6000000000000001,0.5,0.02339386757420065,0.028252412451050823,0.028252412451050823,0.44541016975782943,0.6856349993258432
eta,0.6266666666666667,0.5,0.022890714833918573,0.027159780850819038,0.02810967773416433,0.4412591912040719,0.7103398634689672
eta,0.6533333333333333,0.5,0.022418690636803185,0.026116106920150324,0.027983499676023826,0.43730665449449035,0.7368916106027161
eta,0.68,0.5,0.021974712206090503,0.025115918817149013,0.027862624875392483,0.4335369193129379,0.7655053861894691
eta,0.7066666666666668,0.5,0.021556107922037358,0.02415439940647938,0.0277466730648196,0.4299360531645756,0.7964311024098313
eta,0.7333333333333334,0.5,0.02116054940151415,0.02322726957435589,0.027635302461712603,0.4264915939535162,0.8299607565360233
eta,0.76,0.5,0.020785996806033866,0.02233069248866457,0.02752820484929206,0.42319235560744284,0.8664376791681315
eta,0.7866666666666666,0.5,0.020430654437349798,0.021461193763402185,0.02742510129179,0.42002826065612814,0.9062683333518012
eta,0.8133333333333335,0.5,0.02009293440921976,0.020615593618251504,0.027325738604917764,0.4169902020745036,0.949937524989781
eta,0.8400000000000001,0.5,0.019771426714891162,0.019790947907207555,0.027229886310135624,0.414069924853176,0.9980282334276162
eta,0.8666666666666667,0.5,0.01946487440081419,0.018984495409953218,0.027137334049846022,0.4112599256926672,1.0512477867992178
eta,0.8933333333333333,0.5,0.019172152848059034,0.018193609085816957,0.027047889272469313,0.40855336427589045,1.1104628838631252
eta,0.9200000000000002,0.5,0.018892252381642483,0.01741574910361437,0.026961375363336388,0.40594399087143357,1.1767471587002445
eta,0.9466666666666668,0.5,0.018624263593936208,0.016648415374791108,0.026877629953149164,0.4034260816225854,1.25144686180357
eta,0.9733333333333334,0.5,0.01836736489536617,0.015889096992299602,0.02679650332842452,0.4009943789105065,1.3362732534000008
eta,1.0,0.5,0.018120811903652168,0.015135215326198954,0.026717857988275497,0.39864406769460536,1.4334353049561674
Gamma,0.9,0.0,0.01910101288901083,0.014016872721092767,0.019728512404383242,0.21735553789005843,1.856994150400503
Gamma,0.9,0.08333333333333333,0.01910101288901083,0.014613247275817278,0.02161585459360623,0.26093170488140927,1.7085170960753082
Gamma,0.9,0.16666666666666666,0.01910101288901083,0.015234995722179375,0.023107269888670925,0.2981805456047659,1.5719116115427982
Gamma,0.9,0.25,0.01910101288901083,0.015883197640740865,0.02433744287676091,0.330774423911343,1.44622849849093
Gamma,0.9,0.3333333333333333,0.01910101288901083,0.016558978544875362,0.025369107406001245,0.3594118613636678,1.3305944523143327
