cutoff,Ns_diag,eta_s,eta_i,Fq,ratio,tail_probability
6,1.5,0.9,0.9,5.545295445506542,1.0269065639826929,0.04665599999999999
6,1.5,0.9,0.7,3.937964074428921,0.729252606375726,0.04665599999999999
6,1.5,0.65,0.9,3.5788389031332977,0.9176510008034096,0.04665599999999999
6,1.5,0.5,0.9,2.5894952690266977,0.8631650896755659,0.04665599999999999
8,1.5,0.9,0.9,7.27651250952811,1.3475023165792794,0.016796159999999994
8,1.5,0.9,0.7,4.981576848734759,0.9225142312471776,0.016796159999999994
8,1.5,0.65,0.9,4.491722426842335,1.1517236991903421,0.016796159999999994
8,1.5,0.5,0.9,3.1807109689799136,1.0602369896599713,0.016796159999999994
10,1.5,0.9,0.9,8.357707994897382,1.5477237027587742,0.006046617599999997
10,1.5,0.9,0.7,5.602089499667008,1.037423981419816,0.006046617599999997
10,1.5,0.65,0.9,5.028595688010819,1.2893835097463637,0.006046617599999997
10,1.5,0.5,0.9,3.5179861598930033,1.1726620532976677,0.006046617599999997
12,1.5,0.9,0.9,8.963796390266134,1.6599622944937285,0.002176782335999999
12,1.5,0.9,0.7,5.937780920897978,1.0995890594255515,0.002176782335999999
12,1.5,0.65,0.9,5.316759272084491,1.3632716082267924,0.002176782335999999
12,1.5,0.5,0.9,3.6948671899924617,1.231622396664154,0.002176782335999999
