nret,dark_rate_hz,background_rate_hz,gate_time_s,visibility,samples,max_classical_fi,phase_at_max_fi_rad,crlb_phase_variance,noise_counts_per_gate,sbr
0.001,1.0,0.0,1e-06,0.5,1,0.0002676400187137085,1.8409732950036188,3736.362016435549,1e-06,1000.0000000000001
0.001,1.0,10.0,1e-06,0.5,1,0.0002645915340424216,1.837831702350029,3779.410416962439,1.1e-05,90.9090909090909
0.001,1.0,100.0,1e-06,0.5,1,0.00024016300997805435,1.8126989611213107,4163.838553203419,0.000101,9.900990099009901
0.001,1.0,1000.0,1e-06,0.5,1,0.00012695080729668582,1.6996016255920783,7877.066883576297,0.001001,0.999000999000999
0.001,10.0,0.0,1e-06,0.5,1,0.00026489286935765864,1.837831702350029,3775.1110568771064,9.999999999999999e-06,100.00000000000001
0.001,10.0,10.0,1e-06,0.5,1,0.0002619108167965929,4.4484951974831475,3818.0935489068684,1.9999999999999998e-05,50.00000000000001
0.001,10.0,100.0,1e-06,0.5,1,0.00023798027401805764,1.8095573684677209,4202.0289459962605,0.00010999999999999999,9.090909090909092
0.001,10.0,1000.0,1e-06,0.5,1,0.00012636403055672917,4.586725274241099,7913.644378026273,0.00101,0.9900990099009901
0.001,25.0,0.0,1e-06,0.5,1,0.00026044693968499345,4.4484951974831475,3839.5536580674916,2.4999999999999998e-05,40.00000000000001
0.001,25.0,10.0,1e-06,0.5,1,0.0002575706755757694,1.8315485170428496,3882.4295419679115,3.5e-05,28.571428571428573
0.001,25.0,100.0,1e-06,0.5,1,0.00023443531981412236,1.806415775814131,4265.568860497957,0.000125,8.0
0.001,25.0,1000.0,1e-06,0.5,1,0.0001253981088257118,4.586725274241099,7974.601924737789,0.0010249999999999999,0.9756097560975611
0.001,100.0,0.0,1e-06,0.5,1,0.00024040801805910148,4.4704863460582756,4159.59504210114,9.999999999999999e-05,10.000000000000002
0.001,100.0,10.0,1e-06,0.5,1,0.00023798027401805764,1.8095573684677209,4202.0289459962605,0.00010999999999999999,9.090909090909092
0.001,100.0,100.0,1e-06,0.5,1,0.0002182575740770952,1.7907078125461822,4581.742485815267,0.00019999999999999998,5.000000000000001
