pressure_mpa,wavelength_nm,Nin,number_density_m3,sigma_rayleigh_m2,eta_macro_no_scatter_no_collection,Nret,zero_count_probability,model_scope,claim_level_max,scatter_probability_single_pass,eta_total_source_to_detector_mode,eta_conditional_after_scattering,eta_conditional_after_collection,eta_common_window_train_detector,not_implemented,spatial_mode_overlap_computed,spatial_mode_overlap_used,temporal_mode_overlap,single_mode_overlap_total,mode_overlap_source,regime
1.0,532.0,2678150013932.7217,2.824772342640048e+26,1.1724721254480119e-30,0.049,0.043462725690925436,0.9574682423930304,auditable_single_mode_coupling_screen,conditional_local_boundary,3.3119668324819365e-06,1.3840430180037433e-15,4.178915695742529e-10,0.004178915695742529,0.049,CFD turbulence propagation; multiple-scattering radiative transfer; calibrated receiver validation,0.24821768073769385,0.24821768073769385,0.6871709826407446,0.1705679875813277,computed_gaussian_spatial_overlap,extreme-photon-starved
1.0,633.0,3186595787254.535,2.824772342640048e+26,5.849708373015027e-31,0.049,0.025801248744001297,0.9745287591769701,auditable_single_mode_coupling_screen,conditional_local_boundary,1.652409442460276e-06,7.957192777792346e-16,4.815509142785377e-10,0.004815509142785377,0.049,CFD turbulence propagation; multiple-scattering radiative transfer; calibrated receiver validation,0.2860298216140398,0.2860298216140398,0.6871709826407446,0.1965513935830766,computed_gaussian_spatial_overlap,extreme-photon-starved
1.0,1064.0,5356300027865.443,2.824772342640048e+26,7.327950784050074e-32,0.049,0.0054328407113656794,0.9945818904782562,auditable_single_mode_coupling_screen,conditional_local_boundary,2.0699792703012103e-07,1.2425146934901145e-16,6.002546553566749e-10,0.006002546553566749,0.049,CFD turbulence propagation; multiple-scattering radiative transfer; calibrated receiver validation,0.3565370283885655,0.3565370283885655,0.6871709826407446,0.2450019001455816,computed_gaussian_spatial_overlap,extreme-photon-starved
1.0,1550.0,7802880679691.2,2.824772342640048e+26,1.6271300397795282e-32,0.049,0.0017573439122431853,0.9982441993124452,auditable_single_mode_coupling_screen,conditional_local_boundary,4.596271934248012e-08,2.9407778699493476e-17,6.398180769150865e-10,0.006398180769150865,0.049,CFD turbulence propagation; multiple-scattering radiative transfer; calibrated receiver validation,0.3800367624255109,0.3800367624255109,0.6871709826407446,0.2611502354755455,computed_gaussian_spatial_overlap,extreme-photon-starved
5.25,532.0,2678150013932.7217,1.483005479886025e+27,1.1724721254480119e-30,0.049,0.2281793098773585,0.7959815196898019,auditable_single_mode_coupling_screen,conditional_local_boundary,1.7387825870530168e-05,7.266225844519652e-15,4.178915695742529e-10,0.004178915695742529,0.049,CFD turbulence propagation; multiple-scattering radiative transfer; calibrated receiver validation,0.24821768073769385,0.24821768073769385,0.6871709826407446,0.1705679875813277,computed_gaussian_spatial_overlap,photon-starved
5.25,633.0,3186595787254.535,1.483005479886025e+27,5.849708373015027e-31,0.049,0.13545655590600683,0.8733171025746366,auditable_single_mode_coupling_screen,conditional_local_boundary,8.67514957291645e-06,4.177526208340982e-15,4.815509142785377e-10,0.004815509142785377,0.049,CFD turbulence propagation; multiple-scattering radiative transfer; calibrated receiver validation,0.2860298216140398,0.2860298216140398,0.6871709826407446,0.1965513935830766,computed_gaussian_spatial_overlap,photon-starved
5.25,1064.0,5356300027865.443,1.483005479886025e+27,7.327950784050074e-32,0.049,0.02852241373466981,0.9718805104301187,auditable_single_mode_coupling_screen,conditional_local_boundary,1.0867391169081355e-06,6.523202140823102e-16,6.002546553566749e-10,0.006002546553566749,0.049,CFD turbulence propagation; multiple-scattering radiative transfer; calibrated receiver validation,0.3565370283885655,0.3565370283885655,0.6871709826407446,0.2450019001455816,computed_gaussian_spatial_overlap,extreme-photon-starved
5.25,1550.0,7802880679691.2,1.483005479886025e+27,1.6271300397795282e-32,0.049,0.009226055539276723,0.9908163739253374,auditable_single_mode_coupling_screen,conditional_local_boundary,2.4130427654802065e-07,1.5439083817234078e-16,6.398180769150865e-10,0.006398180769150865,0.049,CFD turbulence propagation; multiple-scattering radiative transfer; calibrated receiver validation,0.3800367624255109,0.3800367624255109,0.6871709826407446,0.2611502354755455,computed_gaussian_spatial_overlap,extreme-photon-starved
9.5,532.0,2678150013932.7217,2.6835337255080456e+27,1.1724721254480119e-30,0.049,0.41289589406379157,0.6617311693849435,auditable_single_mode_coupling_screen,conditional_local_boundary,3.14636849085784e-05,1.314840867103556e-14,4.178915695742529e-10,0.004178915695742529,0.049,CFD turbulence propagation; multiple-scattering radiative transfer; calibrated receiver validation,0.24821768073769385,0.24821768073769385,0.6871709826407446,0.1705679875813277,computed_gaussian_spatial_overlap,photon-starved
9.5,633.0,3186595787254.535,2.6835337255080456e+27,5.849708373015027e-31,0.049,0.2451118630680124,0.7826169874078169,auditable_single_mode_coupling_screen,conditional_local_boundary,1.5697889703372623e-05,7.559333138902729e-15,4.815509142785377e-10,0.004815509142785377,0.049,CFD turbulence propagation; multiple-scattering radiative transfer; calibrated receiver validation,0.2860298216140398,0.2860298216140398,0.6871709826407446,0.1965513935830766,computed_gaussian_spatial_overlap,photon-starved
9.5,1064.0,5356300027865.443,2.6835337255080456e+27,7.327950784050074e-32,0.049,0.051611986757973946,0.949697290486266,auditable_single_mode_coupling_screen,conditional_local_boundary,1.96648030678615e-06,1.1803889588156088e-15,6.002546553566749e-10,0.006002546553566749,0.049,CFD turbulence propagation; multiple-scattering radiative transfer; calibrated receiver validation,0.3565370283885655,0.3565370283885655,0.6871709826407446,0.2450019001455816,computed_gaussian_spatial_overlap,extreme-photon-starved
9.5,1550.0,7802880679691.2,2.6835337255080456e+27,1.6271300397795282e-32,0.049,0.016694767166310263,0.9834438181706695,auditable_single_mode_coupling_screen,conditional_local_boundary,4.366458337535612e-07,2.7937389764518806e-16,6.398180769150865e-10,0.006398180769150865,0.049,CFD turbulence propagation; multiple-scattering radiative transfer; calibrated receiver validation,0.3800367624255109,0.3800367624255109,0.6871709826407446,0.2611502354755455,computed_gaussian_spatial_overlap,extreme-photon-starved
13.75,532.0,2678150013932.7217,3.884061971130066e+27,1.1724721254480119e-30,0.049,0.5976124782502248,0.5501235012418529,auditable_single_mode_coupling_screen,conditional_local_boundary,4.553954394662663e-05,1.903059149755147e-14,4.178915695742529e-10,0.004178915695742529,0.049,CFD turbulence propagation; multiple-scattering radiative transfer; calibrated receiver validation,0.24821768073769385,0.24821768073769385,0.6871709826407446,0.1705679875813277,computed_gaussian_spatial_overlap,photon-starved
