NS_target,cutoff,NS_cut,NS_cut_over_NS_target,tail_probability,eta_s,Gamma,F_Q_exact_TMSV,F_Q_coherent,G_exact_Gamma0,G_formula_current_fock_consistent,G_formula_legacy_factor2,relative_error_current,relative_error_legacy,current_formula_matches_within_tol,legacy_formula_matches_within_tol
0.5,12,0.49997741984043353,0.9999548396808671,1.8816764231589195e-06,0.5,0.0,1.1997904374904256,1.0,1.1997904374904256,1.2,1.0,0.00017463542464531598,0.19979043749042558,True,False
0.5,12,0.49997741984043353,0.9999548396808671,1.8816764231589195e-06,0.7,0.0,1.8256512160376213,1.4,1.3040365828840152,1.3043478260869565,1.1538461538461537,0.0002386197889216568,0.13016503849948,True,False
0.5,12,0.49997741984043353,0.9999548396808671,1.8816764231589195e-06,0.9,0.0,2.570615444878978,1.8,1.4281196915994323,1.4285714285714286,1.3636363636363635,0.000316215880397408,0.04728777383958377,True,True
0.5,12,0.49997741984043353,0.9999548396808671,1.8816764231589195e-06,1.0,0.0,2.9989161503013526,2.0,1.4994580751506763,1.5,1.5,0.0003612832328824626,0.0003612832328824626,True,True
1.5,12,1.4738216273488276,0.982547751565885,0.002176782335999999,0.5,0.0,4.111507888637914,3.0,1.3705026295459712,1.4285714285714286,1.0,0.040648159317820155,0.37050262954597124,True,False
1.5,12,1.4738216273488276,0.982547751565885,0.002176782335999999,0.7,0.0,6.859464861175711,4.199999999999999,1.6332059193275505,1.7241379310344827,1.3157894736842104,0.05274056679002062,0.24123649868893854,False,False
1.5,12,1.4738216273488276,0.982547751565885,0.002176782335999999,0.9,0.0,10.909256543555859,5.4,2.020232693251085,2.173913043478261,1.9230769230769234,0.07069296110450103,0.05052100049056406,False,False
1.5,12,1.4738216273488276,0.982547751565885,0.002176782335999999,1.0,0.0,13.740696883965068,6.0,2.2901161473275113,2.5,2.5,0.08395354106899547,0.08395354106899547,False,False
3.0,12,2.607449198330028,0.869149732776676,0.03167635202407837,0.5,0.0,7.454759716500381,6.0,1.2424599527500635,1.6,1.0,0.22346252953121037,0.2424599527500635,False,False
3.0,12,2.607449198330028,0.869149732776676,0.03167635202407837,0.7,0.0,12.91128856802096,8.399999999999999,1.5370581628596385,2.1052631578947367,1.4285714285714284,0.2698973726416717,0.07594071400174708,False,False
3.0,12,2.607449198330028,0.869149732776676,0.03167635202407837,0.9,0.0,21.796043891238284,10.8,2.018152212151693,3.0769230769230775,2.5,0.3441005310507,0.19273911513932288,False,False
3.0,12,2.607449198330028,0.869149732776676,0.03167635202407837,1.0,0.0,28.54117699227435,12.0,2.378431416022863,4.0,4.0,0.4053921459942843,0.4053921459942843,False,False
